point,rack,module,type,tag,description,device,wire,terminal,panel,sheet,rung
I:0/00,PLC,5069-IB16,DI,PRS7001,Incoming Part Photoeye,Photoeye PNP,70011,TS1-1,EC1,070,7001
I:0/01,PLC,5069-IB16,DI,PRS7002,Outgoing Part Photoeye,Photoeye PNP,70021,TS1-2,EC1,070,7002
I:0/02,PLC,5069-IB16,DI,CR3202,Upper Row Master Lamp Is On,Relay contact 11-14,70031,TS2-1,EC2,070,7003
I:0/03,PLC,5069-IB16,DI,CR3204,Upper Row Slave 1 Lamp Is On,Relay contact 11-14,70041,TS2-2,EC2,070,7004
I:0/04,PLC,5069-IB16,DI,CR3205,Upper Row Slave 2 Lamp Is On,Relay contact 11-14,70051,TS2-3,EC2,070,7005
I:0/05,PLC,5069-IB16,DI,CR3201,Upper Row System Health,Relay contact 11-14,70061,TS2-4,EC2,070,7006
I:0/06,PLC,5069-IB16,DI,SPARE06,Spare,-,70071,TS1-3,EC1,070,7007
I:0/07,PLC,5069-IB16,DI,SPARE07,Spare,-,70081,TS1-4,EC1,070,7008
I:0/08,PLC,5069-IB16,DI,CR3112,Safety Relay 1 Monitor,Relay contact 13-14,70091,TS4-1,EC4,070,7009
I:0/09,PLC,5069-IB16,DI,GC-S1R,Safety Controller Healthy,Aux contact 33-34,70101,TS4-2,EC4,070,7010
I:0/10,PLC,5069-IB16,DI,PRS7012,Focal Lift High Limit Photoeye,Photoeye PNP,70111,TS4-3,EC4,070,7011
I:0/11,PLC,5069-IB16,DI,PRS7013,Focal Lift Low Limit Photoeye,Photoeye PNP,70121,TS4-4,EC4,070,7012
I:0/12,PLC,5069-IB16,DI,CR3208,Lower Row Master Lamp Is On,Relay contact 11-14,70131,TS3-1,EC3,070,7013
I:0/13,PLC,5069-IB16,DI,CR3210,Lower Row Slave 1 Lamp Is On,Relay contact 11-14,70141,TS3-2,EC3,070,7014
I:0/14,PLC,5069-IB16,DI,CR3211,Lower Row Slave 2 Lamp Is On,Relay contact 11-14,70151,TS3-3,EC3,070,7015
I:0/15,PLC,5069-IB16,DI,CR3207,Lower Row System Health,Relay contact 11-14,70161,TS3-4,EC3,070,7016
O:1/00,PLC,5069-OB16,DO,CR3202,Upper Row Master Lamp Enable,Relay coil,71011,TS2-5,EC2,071,7101
O:1/01,PLC,5069-OB16,DO,CR3204,Upper Row Slave 1 Lamp Enable,Relay coil,71021,TS2-6,EC2,071,7102
O:1/02,PLC,5069-OB16,DO,CR3205,Upper Row Slave 2 Lamp Enable,Relay coil,71031,TS2-7,EC2,071,7103
O:1/03,PLC,5069-OB16,DO,CR3208,Lower Row Master Lamp Enable,Relay coil,71041,TS3-5,EC3,071,7104
O:1/04,PLC,5069-OB16,DO,CR3210,Lower Row Slave 1 Lamp Enable,Relay coil,71051,TS3-6,EC3,071,7105
O:1/05,PLC,5069-OB16,DO,CR3211,Lower Row Slave 2 Lamp Enable,Relay coil,71061,TS3-7,EC3,071,7106
O:1/06,PLC,5069-OB16,DO,LT7107,Stack Light Green - Running,Stack light,71071,TS1-5,EC1,071,7107
O:1/07,PLC,5069-OB16,DO,LT7108,Stack Light Amber - Warning,Stack light,71081,TS1-6,EC1,071,7108
O:1/08,PLC,5069-OB16,DO,LT7109,Stack Light Red - Faulted,Stack light,71091,TS1-7,EC1,071,7109
O:1/09,PLC,5069-OB16,DO,HN7110,Warning Horn,Horn,71101,TS1-8,EC1,071,7110
O:1/10,PLC,5069-OB16,DO,VFD-CONV,Conveyor Drive Run Enable,VFD DI-1,72011,TS4-5,EC4,072,7201
O:1/11,PLC,5069-OB16,DO,VFD-FOCA,Focal Lift A Run Enable,VFD DI-1,72021,TS4-6,EC4,072,7202
O:1/12,PLC,5069-OB16,DO,VFD-FOCB,Focal Lift B Run Enable,VFD DI-1,72031,TS4-7,EC4,072,7203
O:1/13,PLC,5069-OB16,DO,VFD-RECIP,Reciprocator Run Enable,VFD DI-1,72041,TS4-8,EC4,072,7204
O:1/14,PLC,5069-OB16,DO,CR3115,Safety Circuit Reset Lamp,Pilot light,72051,TS4-9,EC4,072,7205
O:1/15,PLC,5069-OB16,DO,SPARE15,Spare,-,72061,TS1-9,EC1,072,7206
O:1/16,PLC,5069-OB16,DO,SPARE16,Spare,-,72071,TS1-10,EC1,072,7207
AI:2/00,PLC,5069-IF8,AI,FT7300,Conveyor Encoder Feedback,4-20 mA,73011,TS1-11,EC1,073,7301
AI:2/01,PLC,5069-IF8,AI,PT7301,Focal Height Position,4-20 mA,73021,TS4-10,EC4,073,7302
AO:3/00,PLC,5069-OF4,AO,SC7401,Upper Row Lamp Intensity Setpoint,0-10 V,74011,TS2-8,EC2,074,7401
AO:3/01,PLC,5069-OF4,AO,SC7402,Lower Row Lamp Intensity Setpoint,0-10 V,74021,TS3-8,EC3,074,7402
AO:3/02,PLC,5069-OF4,AO,SC7403,Conveyor Speed Reference,0-10 V,74031,TS4-11,EC4,074,7403
AO:3/03,PLC,5069-OF4,AO,SC7404,Reciprocator Speed Reference,0-10 V,74041,TS4-12,EC4,074,7404
AI:2/02,PLC,5069-IF8,AI,SPAREAI2,Spare analog input,-,73031,TS1-12,EC1,073,7303
AI:2/03,PLC,5069-IF8,AI,SPAREAI3,Spare analog input,-,73041,TS1-13,EC1,073,7304
